step,position,action,market_return,gross_pnl,cost,net_pnl,cumul_net_pnl
340,19.819305,LONG,0.002858,0.056646,0.000891,0.055756,1.935371
341,19.455488,LONG,-0.002922,-0.056844,0.000182,-0.057026,1.878346
342,19.879961,LONG,-0.001209,-0.024041,0.000212,-0.024253,1.854092
343,19.909086,LONG,0.001209,0.024076,1.5e-05,0.024062,1.878154
344,19.725779,LONG,-0.002165,-0.042707,9.2e-05,-0.042799,1.835355
345,-19.774174,SHORT,-0.001595,0.031539,0.01975,0.011789,1.847144
346,-19.282276,SHORT,0.000255,-0.004924,0.000246,-0.00517,1.841974
347,-19.355528,SHORT,0.000702,-0.013586,3.7e-05,-0.013622,1.828351
348,-19.570309,SHORT,-0.024342,0.476377,0.000107,0.47627,2.304621
349,19.932913,LONG,-0.000654,-0.013032,0.019752,-0.032784,2.271837
350,19.941273,LONG,0.004828,0.096278,4e-06,0.096274,2.368111
351,19.925081,LONG,-0.004959,-0.098807,8e-06,-0.098815,2.269297
352,19.936783,LONG,-0.006694,-0.133462,6e-06,-0.133468,2.135829
353,19.918446,LONG,-0.007867,-0.156699,9e-06,-0.156708,1.979121
354,19.928265,LONG,-0.013968,-0.278368,5e-06,-0.278372,1.700748
355,19.933386,LONG,0.012441,0.247987,3e-06,0.247985,1.948733
356,19.802544,LONG,-0.003729,-0.073851,6.5e-05,-0.073916,1.874817
357,19.909924,LONG,0.013585,0.270475,5.4e-05,0.270421,2.145238
358,19.90806,LONG,-0.004883,-0.097202,1e-06,-0.097203,2.048034
359,19.90654,LONG,-0.000728,-0.014489,1e-06,-0.014489,2.033545
360,19.911489,LONG,0.003436,0.068415,2e-06,0.068413,2.101958
361,18.37261,LONG,-0.000396,-0.007273,0.000769,-0.008042,2.093916
362,13.468557,LONG,0.000726,0.009773,0.002452,0.007321,2.101237
363,-15.152009,SHORT,-0.004494,0.068095,0.01431,0.053784,2.155021
364,-16.442396,SHORT,0.003702,-0.060878,0.000645,-0.061523,2.093498
365,19.900789,LONG,0.010765,0.214228,0.018172,0.196056,2.289554
366,19.915739,LONG,0.002348,0.046754,7e-06,0.046746,2.3363
367,19.913671,LONG,-0.002935,-0.058453,1e-06,-0.058454,2.277846
368,19.912712,LONG,0.000914,0.018203,0.0,0.018202,2.296049
369,-19.834219,SHORT,0.000522,-0.010353,0.019873,-0.030227,2.265822
370,-19.691576,SHORT,-0.000522,0.010279,7.1e-05,0.010207,2.276029
371,-19.677952,SHORT,-0.000392,0.007707,7e-06,0.0077,2.28373
372,-19.740801,SHORT,-0.004187,0.082662,3.1e-05,0.082631,2.366361
373,-0.235337,SHORT,0.003011,-0.000709,0.009753,-0.010461,2.3559
374,4.595397,LONG,0.001502,0.006904,0.002415,0.004488,2.360388
375,0.588033,LONG,6.5e-05,3.8e-05,0.002004,-0.001965,2.358423
376,3.433275,LONG,0.001826,0.006268,0.001423,0.004846,2.363268
377,-19.311916,SHORT,0.000326,-0.00629,0.011373,-0.017662,2.345606
