step,position,action,position_change,pred_return,pred_15m,pred_1h,pred_4h,pred_1d,market_return,gross_pnl,cost,net_pnl,cumul_net_pnl,correct_direction
289,-0.08372,SHORT,0.019059,-0.001107,0.005586,-0.014547,0.006143,-0.014712,0.001187,-9.9e-05,1e-05,-0.000109,-0.00244,0
290,-0.130773,SHORT,0.047053,-0.000664,0.005936,-0.01334,0.01296,-0.014848,0.000712,-9.3e-05,2.4e-05,-0.000117,-0.002557,0
291,-0.138395,SHORT,0.007622,-0.011666,0.005307,-0.0128,0.014317,-0.014848,0.001422,-0.000197,4e-06,-0.000201,-0.002757,0
292,-0.131653,SHORT,0.006741,-0.001593,0.006509,-0.012602,0.015036,-0.014848,0.002483,-0.000327,3e-06,-0.00033,-0.003088,0
293,-0.130194,SHORT,0.001459,0.004362,0.005807,-0.012422,0.015584,-0.014848,-0.000354,4.6e-05,1e-06,4.5e-05,-0.003042,1
294,-0.085503,SHORT,0.044692,-0.015613,0.006231,-0.011932,0.016007,-0.014963,0.004597,-0.000393,2.2e-05,-0.000415,-0.003458,0
295,-0.073572,SHORT,0.011931,0.010846,0.006351,-0.011733,0.016356,-0.014963,-0.000706,5.2e-05,6e-06,4.6e-05,-0.003412,1
296,-0.036354,FLAT,0.037218,-0.01667,0.005685,-0.011704,0.017935,-0.014963,-0.001295,4.7e-05,1.9e-05,2.8e-05,-0.003383,1
297,-0.032351,FLAT,0.004003,-0.019205,0.006281,-0.01161,0.017935,-0.014963,0.000236,-8e-06,2e-06,-1e-05,-0.003393,0
298,-0.033555,FLAT,0.001204,-0.016261,0.006488,-0.011997,0.017886,-0.015061,0.001883,-6.3e-05,1e-06,-6.4e-05,-0.003457,0
299,-0.021444,FLAT,0.012111,-0.015091,0.005556,-0.011532,0.017886,-0.015061,0.000235,-5e-06,6e-06,-1.1e-05,-0.003468,0
300,-0.02353,FLAT,0.002085,-0.013607,0.005488,-0.010851,0.017891,-0.015061,0.000588,-1.4e-05,1e-06,-1.5e-05,-0.003483,0
301,-0.018489,FLAT,0.005041,-0.014306,0.005049,-0.01065,0.017891,-0.015061,0.005273,-9.7e-05,3e-06,-0.0001,-0.003583,0
302,-0.022592,FLAT,0.004104,-0.002033,0.006298,-0.010036,0.018102,-0.015146,-0.002575,5.8e-05,2e-06,5.6e-05,-0.003526,1
303,0.013644,FLAT,0.036237,-0.006628,0.006173,-0.009913,0.018102,-0.015146,0.000117,2e-06,1.8e-05,-1.7e-05,-0.003543,1
304,0.015146,FLAT,0.001502,-0.015979,0.003864,-0.009966,0.018076,-0.015146,0.0,0.0,1e-06,-1e-06,-0.003544,0
305,0.017802,FLAT,0.002655,-0.017014,0.005166,-0.009904,0.018076,-0.015146,-0.002698,-4.8e-05,1e-06,-4.9e-05,-0.003593,0
306,0.007001,FLAT,0.010801,-0.009509,0.006982,-0.007412,0.01512,-0.015219,0.000235,2e-06,5e-06,-4e-06,-0.003597,1
307,-0.000663,FLAT,0.007664,-0.014304,0.005447,-0.007565,0.015241,-0.015219,-0.000823,1e-06,4e-06,-3e-06,-0.0036,1
308,-0.011297,FLAT,0.010635,-0.004108,0.003423,-0.007639,0.015328,-0.015219,0.002114,-2.4e-05,5e-06,-2.9e-05,-0.003629,0
309,-0.0222,FLAT,0.010903,-0.006195,0.004899,-0.007719,0.015438,-0.015219,0.000352,-8e-06,5e-06,-1.3e-05,-0.003643,0
310,-0.038672,FLAT,0.016472,-0.011643,0.004727,-0.007493,0.015494,-0.015283,0.001055,-4.1e-05,8e-06,-4.9e-05,-0.003692,0
311,-0.034691,FLAT,0.003981,-0.006132,0.007454,-0.006923,0.015541,-0.015283,-0.001055,3.7e-05,2e-06,3.5e-05,-0.003657,1
312,-0.002843,FLAT,0.031849,-0.012792,0.005934,-0.006385,0.014188,-0.015283,0.006196,-1.8e-05,1.6e-05,-3.4e-05,-0.003691,0
313,-0.015529,FLAT,0.012686,-0.002182,0.006128,-0.006129,0.014188,-0.015283,-0.001283,2e-05,6e-06,1.4e-05,-0.003677,1
314,0.03382,FLAT,0.049349,-0.008797,0.005808,-0.008189,0.014058,-0.015283,0.006165,0.000209,2.5e-05,0.000184,-0.003493,1
315,-0.013403,FLAT,0.047223,0.002519,0.005699,-0.008168,0.014058,-0.015283,0.001159,-1.6e-05,2.4e-05,-3.9e-05,-0.003532,0
316,0.044372,FLAT,0.057775,-0.013924,0.006045,-0.008203,0.014049,-0.015283,-0.000695,-3.1e-05,2.9e-05,-6e-05,-0.003592,0
317,0.054664,LONG,0.010292,-0.015938,0.007682,-0.008175,0.014049,-0.015283,0.003009,0.000164,5e-06,0.000159,-0.003433,1
318,0.054324,LONG,0.00034,-0.008467,0.008002,-0.006198,0.013304,-0.015283,-0.003241,-0.000176,0.0,-0.000176,-0.003609,0
319,0.087084,LONG,0.03276,-0.012414,0.006744,-0.005911,0.013304,-0.015283,0.003703,0.000322,1.6e-05,0.000306,-0.003303,1
320,0.075678,LONG,0.011406,-0.007518,0.007219,-0.005592,0.013173,-0.015283,-0.000578,-4.4e-05,6e-06,-4.9e-05,-0.003352,0
321,0.088552,LONG,0.012874,-0.017795,0.006119,-0.00552,0.013173,-0.015283,-0.004286,-0.00038,6e-06,-0.000386,-0.003738,0
322,0.088646,LONG,9.4e-05,-0.003449,0.007395,-0.006446,0.001033,-0.015283,-0.000929,-8.2e-05,0.0,-8.2e-05,-0.003821,0
323,0.070109,LONG,0.018537,0.005256,0.00722,-0.007042,-0.000491,-0.015283,0.001741,0.000122,9e-06,0.000113,-0.003708,1
324,0.052914,LONG,0.017195,-0.001141,0.006294,-0.007529,-0.00143,-0.015283,-0.001393,-7.4e-05,9e-06,-8.2e-05,-0.00379,0
325,0.07777,LONG,0.024855,-0.006748,0.004964,-0.007704,-0.001635,-0.015283,-0.00093,-7.2e-05,1.2e-05,-8.5e-05,-0.003875,0
326,0.053097,LONG,0.024673,0.004465,0.0052,-0.009778,-0.001755,-0.015283,0.000232,1.2e-05,1.2e-05,0.0,-0.003875,1
327,0.009135,FLAT,0.043962,0.000981,0.006134,-0.010015,-0.001705,-0.015283,0.003017,2.8e-05,2.2e-05,6e-06,-0.003869,1
328,-0.032871,FLAT,0.042006,-0.021764,0.005493,-0.010204,-0.002092,-0.015283,-0.001275,4.2e-05,2.1e-05,2.1e-05,-0.003848,1
329,0.030621,FLAT,0.063491,-0.005926,0.00566,-0.010295,-0.002092,-0.015283,-0.000348,-1.1e-05,3.2e-05,-4.2e-05,-0.003891,0
330,0.019306,FLAT,0.011315,-0.012982,0.008058,-0.009952,-0.002273,-0.015283,0.000348,7e-06,6e-06,1e-06,-0.00389,1
331,-0.005719,FLAT,0.025025,-0.00861,0.005449,-0.009429,-0.002273,-0.015283,0.002202,-1.3e-05,1.3e-05,-2.5e-05,-0.003915,0
332,-0.0047,FLAT,0.00102,-0.010625,0.006792,-0.009413,-0.002336,-0.015283,0.001735,-8e-06,1e-06,-9e-06,-0.003923,0
