step,position,action,market_return,gross_pnl,cost,net_pnl,cumul_net_pnl
370,-19.827593,SHORT,-0.000522,0.01035,6e-06,0.010344,-0.652436
371,-19.815218,SHORT,-0.000392,0.007761,6e-06,0.007755,-0.644681
372,-19.830217,SHORT,-0.004187,0.083037,7e-06,0.083029,-0.561652
373,-19.764362,SHORT,0.003011,-0.05952,3.3e-05,-0.059552,-0.621204
374,-19.651541,SHORT,0.001502,-0.029523,5.6e-05,-0.02958,-0.650784
375,-19.804699,SHORT,6.5e-05,-0.001293,7.7e-05,-0.001369,-0.652153
376,-19.779379,SHORT,0.001826,-0.036113,1.3e-05,-0.036125,-0.688278
377,-19.595007,SHORT,0.000326,-0.006382,9.2e-05,-0.006474,-0.694752
378,-19.647783,SHORT,0.003511,-0.068976,2.6e-05,-0.069002,-0.763754
379,-19.722292,SHORT,-0.00338,0.066668,3.7e-05,0.066631,-0.697123
380,-19.704679,SHORT,-0.005616,0.110657,9e-06,0.110649,-0.586474
381,-19.864229,SHORT,0.001897,-0.037687,8e-05,-0.037767,-0.624241
382,-19.868891,SHORT,-0.001308,0.025989,2e-06,0.025987,-0.598254
383,-19.855198,SHORT,-0.001506,0.029909,7e-06,0.029902,-0.568352
384,-19.84985,SHORT,0.001245,-0.024704,3e-06,-0.024707,-0.593058
385,-19.513294,SHORT,-0.000982,0.01917,0.000168,0.019002,-0.574057
386,-19.337317,SHORT,0.000328,-0.006334,8.8e-05,-0.006422,-0.580479
387,-19.32608,SHORT,-0.001705,0.032943,6e-06,0.032937,-0.547542
388,-19.741983,SHORT,-0.004142,0.08178,0.000208,0.081572,-0.46597
389,-19.816011,SHORT,-0.001649,0.032668,3.7e-05,0.032631,-0.433339
390,-19.782516,SHORT,-0.000924,0.018287,1.7e-05,0.01827,-0.415068
391,-19.60499,SHORT,0.000726,-0.014241,8.9e-05,-0.01433,-0.429398
392,-19.620031,SHORT,-0.000396,0.007772,8e-06,0.007765,-0.421633
393,19.125933,LONG,0.000396,0.007577,0.019373,-0.011796,-0.433429
394,18.83687,LONG,-0.003637,-0.068514,0.000145,-0.068658,-0.502088
395,18.903181,LONG,0.001324,0.025031,3.3e-05,0.024998,-0.47709
396,19.010902,LONG,-0.004642,-0.088253,5.4e-05,-0.088307,-0.565397
397,19.350945,LONG,0.004775,0.092392,0.00017,0.092222,-0.473175
398,19.291048,LONG,-0.003712,-0.0716,3e-05,-0.07163,-0.544805
399,19.270344,LONG,-0.000598,-0.01152,1e-05,-0.01153,-0.556335
400,19.280951,LONG,-0.001463,-0.028204,5e-06,-0.028209,-0.584544
401,19.271379,LONG,0.00133,0.025629,5e-06,0.025624,-0.55892
402,19.222157,LONG,0.004839,0.093018,2.5e-05,0.092993,-0.465927
403,19.053713,LONG,-0.003843,-0.07322,8.4e-05,-0.073305,-0.539231
404,18.884438,LONG,0.001062,0.020047,8.5e-05,0.019963,-0.519269
405,-19.921055,SHORT,-0.007989,0.159157,0.019403,0.139754,-0.379514
406,-19.876753,SHORT,-0.000669,0.013291,2.2e-05,0.013269,-0.366246
407,-19.856112,SHORT,0.003539,-0.070268,1e-05,-0.070279,-0.436524
408,-19.884787,SHORT,-0.006017,0.119644,1.4e-05,0.11963,-0.316895
409,18.437437,LONG,0.002612,0.048154,0.019161,0.028993,-0.287902
410,12.682713,LONG,0.007264,0.092122,0.002877,0.089244,-0.198657
411,-19.915504,SHORT,-0.003259,0.064899,0.016299,0.0486,-0.150057
412,-19.812319,SHORT,-0.003069,0.060802,5.2e-05,0.060751,-0.089306
413,-19.859268,SHORT,-0.006032,0.119787,2.3e-05,0.119763,0.030457
414,-19.864088,SHORT,-0.001278,0.025387,2e-06,0.025385,0.055842
415,-19.878632,SHORT,-0.007567,0.150423,7e-06,0.150416,0.206258
